,PMBBILAN,PMBMOD,PMBBR,PMBPOL,PMBPRVMAT,PMBPBEN,PMBREC,PMBRECCPL,PMBCAPIT,PMBPBEX,PMBTXINT,POLTBMORT,PMBFRACT,PMBAGE,POLTARIF,PMBPMNZILL,PMBRACHAT,POLDURC,POLDURP,POLDTDEB,POLDTEXP,POLPRTOT,POLPRVIEHT,POLPRTECH,POLTAXE,POLPREPARG,POLPRDECES,POLNBTETE,POLSEXASS1,POLSEXASS2,POLINTERG,POLRISQ1,POLTETE11,POLTETE21,POLTARIF1,POLSURPR1,POLSURMOR1,POLPRCPL1,POLRISQ2,POLTETE12,POLTETE22,POLTARIF2,POLSURPR2,POLSURMOR2,POLPRCPL2,POLRISQ3,POLTETE13,POLTETE23,POLTARIF3,POLSURMOR3,POLPRCPL3,POLRISQ4,POLTETE14,POLTETE24,POLTARIF4,POLSURPR4,POLSURMOR4,POLPRCPL4,POLRISQ5,POLTETE15,POLTETE25,POLTARIF5,POLSURPR5,POLSURMOR5,POLPRCPL5,POLRISQ6,POLTETE16,POLTETE26,POLTARIF6,POLSURPR6,POLSURMOR6,POLPRCPL6,POLRISQA,POLTETE1A,POLTETE2A,POLTARIFA,POLSURPRA,POLSURMORA,POLPRCPLA,POLPRCPL9,POLPRCPL8,POLINDEX,POLDEVCAP,POLCAPAUT,POLSIT,CLIDTNAISS,CLIDTNAISS2
2548,2020.0,8.0,11.0,1963101.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,20.0,20.0,20110401.0,20310331.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19651021.0,19690728.0
2549,2020.0,8.0,11.0,1963301.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,41.0,41.0,20110401.0,20520401.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19890830.0,19860517.0
2550,2020.0,8.0,11.0,1963601.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,14.0,14.0,20110401.0,20250331.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19590526.0,19601023.0
2551,2020.0,9.0,11.0,1964501.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,22.0,22.0,20110401.0,20330331.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19671130.0,19730305.0
2552,2020.0,9.0,11.0,1964901.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,30.0,30.0,20110401.0,20410331.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,18.0,19760121.0,19751028.0
2553,2020.0,8.0,11.0,1965701.0,0.0,0.0,10.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,14.0,14.0,20110501.0,20250430.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19590611.0,19620610.0
2554,2020.0,8.0,11.0,1965901.0,0.0,0.0,10.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,24.0,24.0,20110501.0,20350430.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19690903.0,19730218.0
2555,2020.0,8.0,11.0,1966101.0,0.0,0.0,10.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,20.0,20.0,20110501.0,20310430.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19660301.0,19700517.0
2556,2020.0,9.0,11.0,1966301.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995,2.0,9.0,B,0.0,0.0,36.0,36.0,20110501.0,20470501.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,F,M,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19830516.0,19820201.0
2557,2020.0,9.0,11.0,1966601.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,10.0,10.0,20110501.0,20210501.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19640311.0,19560120.0
2558,2020.0,8.0,11.0,1967301.0,0.0,0.0,10.0,0.0,7500.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,26.0,26.0,20110501.0,20370430.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19710910.0,19720419.0
2559,2020.0,9.0,11.0,1967501.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,13.0,13.0,20110501.0,20240501.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19601028.0,19590301.0
2560,2020.0,9.0,11.0,1967701.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995,1.0,9.0,B,0.0,0.0,23.0,23.0,20110501.0,20340430.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19690306.0,19710102.0
2561,2020.0,9.0,11.0,1969001.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995,2.0,9.0,B,0.0,0.0,19.0,19.0,20110501.0,20300430.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,0.0,19641003.0,19661221.0
